NUMBER	NAME	ELEV	LAT	LON
283120	Kusatsu-Shiranesan	2165	36.618	138.528
285080	Kussharo	574	43.615	144.427
285034	Kuttara	549	42.491	141.16
225040	Kutum Volcanic Field	1779	14.57	25.85
257070	Kuwae	-2	-16.829	168.536
373050	Kverkfjoll	1930	64.653	-16.647
222170	Kyejo	2176	-9.229	33.792
383010	La Palma	2426	28.57	-17.83
273080	Laguna Caldera	743	14.42	121.27
344133	"Lajas, Las"	926	12.3	-85.73
263320	Lamongan	1641	-7.981	113.341
252010	Langila	1330	-5.525	148.42
371080	Langjokull	1100	64.85	-19.7
357122	Lanin	3776	-39.637	-71.502
383060	Lanzarote	670	29.03	-13.63
355100	Lascar	5592	-23.37	-67.73
323080	Lassen Volcanic Center	3187	40.492	-121.508
263260	Lawu	3265	-7.625	111.192
222120	"Lengai, Ol Doinyo"	2962	-2.764	35.914
271031	Leonard Range	1080	7.382	126.047
264200	Leroboleng	1095	-8.365	122.833
300530	Leutongey	1318	57.306	159.827
320050	Level Mountain	2190	58.42	-131.35
264180	Lewotobi	1703	-8.542	122.775
360030	Liamuiga	1156	17.37	-62.8
355092	Licancabur	5916	-22.83	-67.88
352081	Licto	3336	-1.78	-78.613
254010	Lihir	700	-3.125	152.642
211042	Lipari	590	38.49	14.933
370030	Ljosufjoll	1063	64.9	-22.483
357110	Llaima	3125	-38.692	-71.729
266100	Lokon-Empung	1580	1.358	124.792
252071	Lolo	796	-5.466	150.509
252130	Lolobau	858	-4.92	151.158
255030	Loloru	1887	-6.52	155.62
251050	Long Island	1280	-5.358	147.12
305050	Longgang Group	1000	42.33	126.5
357100	Lonquimay	2832	-38.379	-71.586
261111	Lubukraya	1862	1.478	99.209
231040	"Lunayyir, Harrat"	1370	25.17	37.75
275020	Ly Son Group	157	15.38	109.12
242021	Macauley	238	-30.21	-178.475
382120	Madeira	1862	32.73	-16.97
272070	Mahagnao	860	10.882	124.888
266110	Mahawu	1299	1.352	124.865
357021	Maipo	5323	-34.164	-69.832
311310	Makushin	1800	53.891	-166.923
300140	Maly Semyachik	1527	54.135	159.674
323150	Mammoth Mountain	3369	37.631	-119.032
253021	Managlase Plateau	1342	-9.08	148.33
251020	Manam	1807	-4.08	145.037
221115	Manda Hararo	600	12.17	40.82
221122	Manda-Inakir	600	12.38	42.2
272030	Mandalagan	1885	10.65	123.25
225006	Manzaz Volcanic Field	1672	23.92	5.83
261140	Marapi	2885	-0.38	100.474
357092	"Marinaqui, Laguna"	2108	-38.255	-71.167
234070	Marion Island	1230	-46.9	37.75
273081	Mariveles	1388	14.527	120.482
327040	Markagunt Plateau	2840	37.58	-112.67
241061	Maroa	897	-38.42	176.08
225030	"Marra, Jebel"	3042	12.95	24.27
222021	Marsabit	1707	2.32	37.97
312140	Martin	1863	58.172	-155.361
285061	Maruyama	2013	43.418	143.031
344100	Masaya	594	11.985	-86.165
341031	Mascota Volcanic Field	2560	20.62	-104.83
285081	Mashu	857	43.572	144.561
258010	Matthew Island	177	-22.33	171.32
271020	Matutum	2286	6.37	125.07
357061	"Maule, Laguna del"	2162	-36.058	-70.492
332030	Mauna Kea	4205	19.82	-155.47
332020	Mauna Loa	4170	19.475	-155.608
241021	Mayor Island	355	-37.28	176.25
320180	Meager	2680	50.63	-123.5
323020	Medicine Lake	2412	41.611	-121.554
221330	Mega Basalt Field	1111	4.063	37.488
283262	Megata	291	39.95	139.73
225050	Meidob Volcanic Field	2000	15.32	26.47
390015	Melbourne	2732	-74.35	164.7
263250	Merapi	2910	-7.54	110.446
263240	Merbabu	3118	-7.454	110.44
222160	Meru	4565	-3.25	36.75
212020	Methana	760	37.615	23.336
358040	Michinmahuida	2452	-42.799	-72.445
341060	Michoacan-Guanajuato	3860	19.85	-101.75
283080	Midagahara	2621	36.571	137.59
284041	Mikurajima	851	33.874	139.602
320120	Milbanke Sound Group	335	52.5	-128.73
290161	Milna	1504	46.815	151.786
212030	Milos	751	36.699	24.439
284131	Minami-Hiyoshi	-107	23.5	141.935
345030	Miravalles	2028	10.748	-85.153
284040	Miyakejima	775	34.094	139.526
357130	Mocho-Choshuenco	2422	-39.927	-72.027
311111	Moffett	1196	51.944	-176.747
352005	Mojanda	4263	0.13	-78.27
344110	Mombacho	1344	11.826	-85.968
344090	Momotombo	1270	12.423	-86.539
323110	Mono Lake Volcanic Field	2121	38	-119.03
323120	Mono-Inyo Craters	2796	37.804	-119.029
390081	Montagu Island	1370	-58.445	-26.374
390017	Morning	2723	-78.5	163.53
257001	Motlav	411	-13.67	167.67
290100	Moyorodake [Medvezhia]	1124	45.389	148.838
342130	Moyuta	1662	14.03	-90.1
223060	Muhavura	4103	-1.383	29.678
252021	Mundua	171	-4.624	149.339
263251	Muria	1625	-6.62	110.88
300060	Mutnovsky	2288	52.449	158.196
284070	Myojinsho	11	31.888	139.918
283100	Myokosan	2454	36.891	138.114
245030	Nabukelevu	805	-19.12	177.98
282040	Nakanoshima	979	29.859	129.857
222040	Namarunu	817	1.98	36.43
283141	Nantaisan	2486	36.765	139.491
341095	Naolinco Volcanic Field	2000	19.67	-96.75
283200	Naruko	470	38.729	140.734
283150	Nasudake	1915	37.125	139.963
273082	Natib	1253	14.72	120.4
353050	"Negra, Sierra"	1124	-0.83	-91.17
344070	"Negro, Cerro"	728	12.506	-86.702
344092	Nejapa-Miraflores	360	12.12	-86.32
213020	Nemrut Dagi	2948	38.654	42.229
360040	Nevis Peak	985	17.15	-62.58
322110	Newberry	2434	43.722	-121.229
259010	Newer Volcanics Province	1011	-37.77	142.5
222164	Ngozi	2614	-8.989	33.554
283090	Niigata-Yakeyama	2400	36.921	138.036
284020	Niijima	432	34.397	139.27
283140	Nikko-Shiranesan	2578	36.799	139.376
285031	Niseko	1308	42.875	140.659
290060	Nishihitokappuyama [Bogatyr Ridge]	1634	44.833	147.342
212050	Nisyros	698	36.586	27.16
243110	Niuafo'ou	260	-15.6	-175.63
283060	Norikuradake	3026	36.106	137.554
257081	North Vate	594	-17.47	168.353
334050	Northern EPR at 9.8N	-2500	9.83	-104.3
283151	Numazawa	835	37.444	139.566
284136	NW Eifuku	-1535	21.485	144.043
284211	NW Rota-1	-517	14.601	144.775
222056	Nyambeni Hills	750	0.23	37.87
223020	Nyamuragira	3058	-1.408	29.2
223030	Nyiragongo	3470	-1.52	29.25
300650	Nylgimelkin	1764	57.97	160.65
221280	O'a Caldera	2075	7.47	38.58
244010	Ofu-Olosega	639	-14.175	-169.618
355130	"Ojos del Salado, Nevados"	6879	-27.109	-68.541
241050	Okataina	1111	-38.12	176.5
283003	Oki-Dogo	151	36.176	133.334
311290	Okmok	1073	53.43	-168.13
224030	Oku Volcanic Field	3011	6.25	10.5
222055	Ol Kokwe	1130	0.62	36.075
355050	Olca-Paruma	5705	-20.939	-68.413
222090	Olkaria	2434	-0.904	36.292
300052	Olkoviy Volcanic Group	681	52.02	157.53
210030	Olot Volcanic Field	893	42.17	2.53
283142	Omanago Group	2341	36.795	139.507
283040	Ontakesan	3067	35.893	137.48
300080	Opala	2439	52.543	157.339
374010	Oraefajokull	2010	64.05	-16.633
341100	"Orizaba, Pico de"	5564	19.03	-97.27
345010	Orosi	1659	10.98	-85.473
285010	Oshima-Oshima	732	41.51	139.367
283290	Osorezan	878	41.279	141.12
358010	Osorno	2659	-41.105	-72.496
300055	Ostanets	719	52.146	157.322
300056	Otdelniy	814	52.221	157.435
342110	Pacaya	2569	14.382	-90.601
